"Code","Département","Nom","Latitude","Longitude","Altitude"
"04126001","04","MONTCLAR_SAPC",44.391833,6.333333,1197
"04134002","04","LA MOTTE DU CAIRE",44.326667,6.0305,665
"04134003","04","LA MOTTE",44.356333,6.0355,750
"04135001","04","MOUSTIERS",43.841667,6.221667,610
"04136001","04","LA MURE-ARGENS",43.977,6.520167,920
"04157001","04","PUIMOISSON",43.871167,6.168833,775
"04158001","04","QUINSON",43.701,6.0385,380
"04158002","04","QUINSON",43.7075,6.039833,400
"04160001","04","REILLANNE",43.87,5.663333,455
"04172001","04","ROUMOULES",43.7935,6.150833,665
"04173001","04","ST-ANDRE",43.968333,6.511667,890
"04173002","04","ST ANDRE ALPES",43.958333,6.511667,882
"04184001","04","ST JURS",43.900833,6.2005,867
"04192001","04","ST MICHEL L OBS",43.933333,5.713333,650
"04193002","04","ST PAUL",44.593,6.843333,1908
"04193400","04","Maljasset",44.593,6.843333,1908
"04205001","04","SEYNE",44.3515,6.3645,1210
"04205004","04","SEYNE-COL MAURE",44.320333,6.400167,1347
"04209001","04","SISTERON BEAULIEU",44.195,5.941667,480
"04209004","04","SISTERON-CHAUMI",44.215,5.941667,485
"04209005","04","SISTERON",44.2245,5.916,500
"04217001","04","THOARD",44.16,6.138333,785
"04217002","04","THOARD",44.146833,6.138833,732
"04222001","04","TURRIERS",44.399,6.1695,1020
"04226001","04","UVERNET FOURS",44.319167,6.693,1660
"04230001","04","VALENSOLE",43.8395,6.000833,600
"04230002","04","VALENSOLE",43.843333,5.986667,545
"05001400","05","ABRIES_NIVO",44.792833,6.947,2018
"05004001","05","ANCELLE",44.6245,6.209833,1354
"05007001","05","ARVIEUX LA CHALP",44.781167,6.736667,1690
"05007003","05","ARVIEUX",44.796,6.728,1825
"05023001","05","BRIANCON",44.908333,6.635,1324
"05026001","05","CEILLAC",44.671167,6.776167,1665
"05026400","05","CEILLAC_NIVO",44.671167,6.776167,1665
"05027001","05","CERVIERES",44.869333,6.7235,1614
"05031001","05","CHAMPCELLA",44.728333,6.57,1100
"05038001","05","CHATEAU-VILLE-VIEILLE",44.759333,6.809,1355
"05044400","05","PARPAILLON-NIVOSE",44.495333,6.636333,2545
"05046001","05","EMBRUN",44.571167,6.508667,873
"05055001","05","LA FAURIE",44.566667,5.750167,825
"05058001","05","FREISSINIERES",44.748333,6.503333,1320
"05061008","05","GAP",44.568333,6.091667,750
"05061009","05","GAP",44.577667,6.079833,885
"05061400","05","GAP BAYARD_NIVO",44.6215,6.084333,1240
"05063402","05","LA MEIJE-NIVOSE",45.012333,6.265167,3093
"05064001","05","CHAPELLE-EN-VALGAUDEMAR",44.81,6.195333,1270
"05064400","05","Vallompierre",44.8,6.27,2560
"05064403","05","LES PORTES EN VALGAUDEMAR",44.81,6.195333,1270
"05070003","05","LARAGNE MONTEGLIN",44.319167,5.7945,565
